                            95%-CI
YE_Abbott  0.3837 [0.3351; 0.4323]
RE_Gibert         0.2 RE13
RE_Schmidt        0.2 RE13
RE_Abbott         0.2 RE15
RE_Gibert         0.2 RE15
RE_Schmidt        0.2 RE15
RE_Abbott         0.2 RE16
RE_Gibert         0.2 RE16
RE_Schmidt        0.2 RE16
RE_Abbott         0.2 RE17
RE_Gibert         0.2 RE17
RE_Schmidt        0.2 RE17
RE_Abbott         0.2 RE18
RE_Gibert         0.2 RE18
RE_Schmidt        0.2 RE18
RE_Abbott         0.2  RE2
RE_Gibert         0.2  RE2
RE_Schmidt        0.2  RE2
RE_Abbott         0.2  RE3
RE_Gibert         0.2  RE3
RE_Schmidt        0.2  RE3
RE_Abbott         0.2  RE4
RE_Gibert         0.2  RE4
RE_Schmidt        0.2  RE4
RE_Abbott         0.2  RE5
RE_Gibert         0.2  RE5
RE_Schmidt        0.2  RE5
RE_Abbott         0.2  RE6
RE_Gibert         0.2  RE6
RE_Schmidt        0.2  RE6
RE_Abbott         0.2  RE7
RE_Gibert         0.2  RE7
RE_Schmidt        0.2  RE7
RE_Abbott         0.2  RE8
RE_Gibert         0.2  RE8
GI_Abbott         0.2  GI1
GI_Gibert         0.2  GI1
GI_Schmidt        0.2  GI1
GI_Abbott         0.2 GI10
GI_Gibert         0.2 GI10
GI_Schmidt        0.2 GI10
GI_Abbott         0.2 GI11
GI_Gibert         0.2 GI11
GI_Schmidt        0.2 GI11
GI_Abbott         0.2 GI12
GI_Gibert         0.2 GI12
GI_Schmidt        0.2 GI12
GI_Gibert         0.2 GI13
GI_Schmidt        0.2 GI13
GI_Abbott         0.2 GI14
GI_Gibert         0.2 GI14
GI_Schmidt        0.2 GI14
GI_Abbott         0.2 GI15
GI_Gibert         0.2 GI15
GI_Schmidt        0.2 GI15
GI_Abbott         0.2  GI2
GI_Gibert         0.2  GI2
GI_Schmidt        0.2  GI2
GI_Abbott         0.2  GI3
GI_Gibert         0.2  GI3
GI_Schmidt        0.2  GI3
GI_Abbott         0.2  GI4
GI_Gibert         0.2  GI4
GI_Abbott         0.2  GI5
GI_Gibert         0.2  GI5
GI_Schmidt        0.2  GI5
GI_Abbott         0.2  GI6
GI_Gibert         0.2  GI6
GI_Abbott         0.2  GI7
GI_Gibert         0.2  GI7
GI_Schmidt        0.2  GI7
GI_Abbott         0.2  GI8
GI_Gibert         0.2  GI8
GI_Schmidt        0.2  GI8
GI_Abbott         0.2  GI9
GI_Gibert         0.2  GI9
GI_Schmidt        0.2  GI9
MU_Abbott         0.2  MU1
MU_Gibert         0.2  MU1
MU_Schmidt        0.2  MU1
MU_Abbott         0.2 MU10
MU_Gibert         0.2 MU10
MU_Schmidt        0.2 MU10
MU_Abbott         0.2 MU11
MU_Gibert         0.2 MU11
MU_Schmidt        0.2 MU11
MU_Abbott         0.2 MU12
MU_Gibert         0.2 MU12
MU_Schmidt        0.2 MU12
MU_Abbott         0.2 MU13
MU_Gibert         0.2 MU13
MU_Schmidt        0.2 MU13
MU_Abbott         0.2 MU14
MU_Gibert         0.2 MU14
MU_Schmidt        0.2 MU14
MU_Gibert         0.2 MU15
MU_Schmidt        0.2 MU15
MU_Abbott         0.2 MU16
MU_Gibert         0.2 MU16
MU_Schmidt        0.2 MU16
MU_Abbott         0.2 MU17
MU_Gibert         0.2 MU17
MU_Schmidt        0.2 MU17
MU_Abbott         0.2 MU18
MU_Gibert         0.2 MU18
MU_Schmidt        0.2 MU18
MU_Abbott         0.2 MU19
MU_Gibert         0.2 MU19
MU_Schmidt        0.2 MU19
MU_Abbott         0.2  MU2
MU_Gibert         0.2  MU2
MU_Schmidt        0.2  MU2
MU_Abbott         0.2 MU20
MU_Gibert         0.2 MU20
MU_Schmidt        0.2 MU20
MU_Abbott         0.2  MU3
MU_Gibert         0.2  MU3
MU_Schmidt        0.2  MU3
MU_Gibert         0.2  MU4
MU_Schmidt        0.2  MU4
MU_Abbott         0.2  MU5
MU_Gibert         0.2  MU5
MU_Schmidt        0.2  MU5
MU_Abbott         0.2  MU6
MU_Gibert         0.2  MU6
MU_Schmidt        0.2  MU6
MU_Gibert         0.2  MU7
MU_Schmidt        0.2  MU7
MU_Abbott         0.2  MU8
MU_Gibert         0.2  MU8
MU_Schmidt        0.2  MU8
MU_Abbott         0.2  MU9
MU_Gibert         0.2  MU9
MU_Schmidt        0.2  MU9
MA_Abbott         0.2 MA12
MA_Schmidt        0.2 MA12
MA_Abbott         0.2 MA13
MA_Gibert         0.2 MA13
MA_Schmidt        0.2 MA13
MA_Gibert         0.2 MA16
MA_Abbott         0.2 MA18
MA_Gibert         0.2 MA18
MA_Schmidt        0.2 MA18
MA_Abbott         0.2 MA19
MA_Gibert         0.2 MA19
MA_Schmidt        0.2 MA19
MA_Abbott         0.2 MA20
MA_Gibert         0.2 MA20
MA_Schmidt        0.2 MA20
MA_Abbott         0.2 MA21
MA_Gibert         0.2 MA21
MA_Schmidt        0.2 MA21
MA_Abbott         0.2 MA23
MA_Gibert         0.2 MA23
MA_Schmidt        0.2 MA23
MA_Abbott         0.2 MA26
MA_Gibert         0.2 MA26
MA_Schmidt        0.2 MA26
MA_Abbott         0.2 MA27
MA_Gibert         0.2 MA27
MA_Schmidt        0.2 MA27
MA_Abbott         0.2 MA28
MA_Gibert         0.2 MA28
MA_Schmidt        0.2 MA28
MA_Gibert         0.2  MA3
MA_Schmidt        0.2  MA3
MA_Abbott         0.2 MA30
MA_Gibert         0.2 MA30
MA_Schmidt        0.2 MA30
MA_Abbott         0.2 MA31
MA_Gibert         0.2 MA31
MA_Schmidt        0.2 MA31
MA_Abbott         0.2 MA32
MA_Gibert         0.2 MA32
MA_Schmidt        0.2 MA32
MA_Abbott         0.2 MA33
MA_Gibert         0.2 MA33
MA_Schmidt        0.2 MA33
MA_Abbott         0.2  MA5
MA_Gibert         0.2  MA5
MA_Schmidt        0.2  MA5
MA_Abbott         0.2  MA6
MA_Gibert         0.2  MA6
MA_Schmidt        0.2  MA6
MA_Abbott         0.2  MA7
MA_Gibert         0.2  MA7
MA_Schmidt        0.2  MA7
MA_Abbott         0.2  MA9
MA_Gibert         0.2  MA9
MA_Schmidt        0.2  MA9
UM_Abbott         0.2 UM13
UM_Gibert         0.2 UM13
UM_Schmidt        0.2 UM13
UM_Abbott         0.2 UM17
UM_Gibert         0.2 UM17
UM_Schmidt        0.2 UM17
UM_Abbott         0.2 UM18
UM_Gibert         0.2 UM18
UM_Schmidt        0.2 UM18
UM_Abbott         0.2  UM2
UM_Gibert         0.2  UM2
UM_Schmidt        0.2  UM2
UM_Abbott         0.2 UM20
UM_Gibert         0.2 UM20
UM_Schmidt        0.2 UM20
UM_Abbott         0.2 UM21
UM_Gibert         0.2 UM21
UM_Schmidt        0.2 UM21
UM_Abbott         0.2 UM22
UM_Gibert         0.2 UM22
UM_Schmidt        0.2 UM22
UM_Abbott         0.2 UM23
UM_Gibert         0.2 UM23
UM_Schmidt        0.2 UM23
UM_Abbott         0.2 UM25
UM_Gibert         0.2 UM25
UM_Schmidt        0.2 UM25
UM_Abbott         0.2 UM26
UM_Gibert         0.2 UM26
UM_Abbott         0.2 UM28
UM_Gibert         0.2 UM28
UM_Schmidt        0.2 UM28
UM_Abbott         0.2 UM29
UM_Gibert         0.2 UM29
UM_Schmidt        0.2 UM29
UM_Abbott         0.2  UM4
UM_Gibert         0.2  UM4
UM_Schmidt        0.2  UM4
UM_Abbott         0.2  UM5
UM_Gibert         0.2  UM5
UM_Schmidt        0.2  UM5
UM_Abbott         0.2  UM6
UM_Gibert         0.2  UM6
UM_Abbott         0.2  UM7
UM_Gibert         0.2  UM7
UM_Schmidt        0.2  UM7
UM_Abbott         0.2  UM8
UM_Gibert         0.2  UM8
UM_Abbott         0.2  UM9
UM_Gibert         0.2  UM9
UM_Schmidt        0.2  UM9
KA_Abbott         0.2  KA1
KA_Gibert         0.2  KA1
KA_Schmidt        0.2  KA1
KA_Abbott         0.2 KA10
KA_Gibert         0.2 KA10
KA_Schmidt        0.2 KA10
KA_Abbott         0.2 KA11
KA_Gibert         0.2 KA11
KA_Schmidt        0.2 KA11
KA_Abbott         0.2 KA13
KA_Gibert         0.2 KA13
KA_Schmidt        0.2 KA13
KA_Abbott         0.2 KA14
KA_Gibert         0.2 KA14
KA_Schmidt        0.2 KA14
KA_Abbott         0.2 KA15
KA_Gibert         0.2 KA15
KA_Abbott         0.2 KA16
KA_Gibert         0.2 KA16
KA_Schmidt        0.2 KA16
KA_Abbott         0.2 KA17
KA_Gibert         0.2 KA17
KA_Schmidt        0.2 KA17
KA_Abbott         0.2 KA18
KA_Gibert         0.2 KA18
KA_Schmidt        0.2 KA18
KA_Abbott         0.2  KA2
KA_Gibert         0.2  KA2
KA_Schmidt        0.2  KA2
KA_Abbott         0.2 KA23
KA_Gibert         0.2 KA23
KA_Schmidt        0.2 KA23
KA_Abbott         0.2 KA24
KA_Gibert         0.2 KA24
KA_Schmidt        0.2 KA24
KA_Abbott         0.2 KA25
KA_Gibert         0.2 KA25
KA_Schmidt        0.2 KA25
KA_Gibert         0.2 KA28
KA_Schmidt        0.2 KA28
KA_Abbott         0.2 KA29
KA_Gibert         0.2 KA29
KA_Schmidt        0.2 KA29
KA_Abbott         0.2  KA3
KA_Gibert         0.2  KA3
KA_Schmidt        0.2  KA3
KA_Abbott         0.2  KA5
KA_Gibert         0.2  KA5
KA_Schmidt        0.2  KA5
KA_Abbott         0.2  KA6
KA_Gibert         0.2  KA6
KA_Schmidt        0.2  KA6
KA_Abbott         0.2  KA7
KA_Gibert         0.2  KA7
KA_Schmidt        0.2  KA7
KA_Abbott         0.2  KA9
KA_Gibert         0.2  KA9
KA_Schmidt        0.2  KA9
VA_Abbott         0.2  VA1
VA_Gibert         0.2  VA1
VA_Abbott         0.2 VA11
VA_Gibert         0.2 VA11
VA_Schmidt        0.2 VA11
VA_Schmidt        0.2 VA15
VA_Abbott         0.2 VA18
VA_Gibert         0.2 VA18
VA_Schmidt        0.2 VA18
VA_Abbott         0.2 VA22
VA_Gibert         0.2 VA22
VA_Schmidt        0.2 VA22
VA_Abbott         0.2 VA26
VA_Gibert         0.2 VA26
VA_Schmidt        0.2 VA26
VA_Abbott         0.2 VA30
VA_Gibert         0.2 VA30
VA_Schmidt        0.2 VA30
VA_Abbott         0.2 VA34
VA_Gibert         0.2 VA34
VA_Schmidt        0.2 VA34
VA_Abbott         0.2 VA35
VA_Gibert         0.2 VA35
VA_Schmidt        0.2 VA35
VA_Abbott         0.2 VA44
VA_Gibert         0.2 VA44
VA_Schmidt        0.2 VA44
VA_Abbott         0.2 VA46
VA_Gibert         0.2 VA46
VA_Schmidt        0.2 VA46
VA_Abbott         0.2 VA47
VA_Gibert         0.2 VA47
VA_Schmidt        0.2 VA47
VA_Abbott         0.2 VA48
VA_Gibert         0.2 VA48
VA_Schmidt        0.2 VA48
VA_Abbott         0.2 VA55
VA_Gibert         0.2 VA55
VA_Schmidt        0.2 VA55
VA_Abbott         0.2 VA57
VA_Gibert         0.2 VA57
VA_Schmidt        0.2 VA57
VA_Abbott         0.2  VA6
VA_Gibert         0.2  VA6
VA_Abbott         0.2 VA66
VA_Gibert         0.2 VA66
VA_Schmidt        0.2 VA66
VA_Abbott         0.2 VA67
VA_Gibert         0.2 VA67
VA_Schmidt        0.2 VA67
VA_Abbott         0.2 VA71
VA_Gibert         0.2 VA71
VA_Schmidt        0.2 VA71
VA_Abbott         0.2  VA9
VA_Gibert         0.2  VA9
AK_Abbott         0.2  AK1
AK_Gibert         0.2  AK1
AK_Schmidt        0.2  AK1
AK_Abbott         0.2 AK10
AK_Gibert         0.2 AK10
AK_Schmidt        0.2 AK10
AK_Abbott         0.2 AK11
AK_Gibert         0.2 AK11
AK_Schmidt        0.2 AK11
AK_Abbott         0.2 AK12
AK_Gibert         0.2 AK12
AK_Schmidt        0.2 AK12
AK_Abbott         0.2 AK13
AK_Gibert         0.2 AK13
AK_Schmidt        0.2 AK13
AK_Abbott         0.2 AK14
AK_Gibert         0.2 AK14
AK_Schmidt        0.2 AK14
AK_Abbott         0.2 AK15
AK_Gibert         0.2 AK15
AK_Schmidt        0.2 AK15
AK_Abbott         0.2 AK16
AK_Gibert         0.2 AK16
AK_Schmidt        0.2 AK16
AK_Abbott         0.2 AK17
AK_Gibert         0.2 AK17
AK_Schmidt        0.2 AK17
AK_Abbott         0.2 AK18
AK_Gibert         0.2 AK18
AK_Schmidt        0.2 AK18
AK_Abbott         0.2  AK2
AK_Gibert         0.2  AK2
AK_Schmidt        0.2  AK2
AK_Abbott         0.2 AK20
AK_Gibert         0.2 AK20
AK_Schmidt        0.2 AK20
AK_Abbott         0.2 AK21
AK_Gibert         0.2 AK21
AK_Schmidt        0.2 AK21
AK_Abbott         0.2  AK3
AK_Gibert         0.2  AK3
AK_Schmidt        0.2  AK3
AK_Abbott         0.2  AK4
AK_Gibert         0.2  AK4
AK_Schmidt        0.2  AK4
AK_Abbott         0.2  AK5
AK_Gibert         0.2  AK5
AK_Schmidt        0.2  AK5
AK_Abbott         0.2  AK6
AK_Gibert         0.2  AK6
AK_Schmidt        0.2  AK6
AK_Abbott         0.2  AK7
AK_Gibert         0.2  AK7
AK_Schmidt        0.2  AK7
AK_Abbott         0.2  AK8
AK_Gibert         0.2  AK8
AK_Schmidt        0.2  AK8
AK_Abbott         0.2  AK9
AK_Gibert         0.2  AK9
AK_Schmidt        0.2  AK9

Number of studies combined: k = 485

                           
Random effects model 0.5901
                               95%-CI
Random effects model [0.5724; 0.6077]
                         z p-value
Random effects model 65.61       0

Quantifying heterogeneity:
 tau^2 = 0.0366 [0.0336; 0.0444]; tau = 0.1912 [0.1832; 0.2108]
 I^2 = 94.2% [93.8%; 94.5%]; H = 4.14 [4.03; 4.26]

Test of heterogeneity:
       Q d.f. p-value
 8313.40  484       0

Results for subgroups (random effects model):
              k       
Line = YE11   3 0.5016
Line = YE13   3 0.5850
Line = YE14   3 0.3781
Line = YE15   3 0.5275
Line = YE19   3 0.5862
Line = YE20   3 0.6390
Line = YE21   3 0.7266
Line = YE22   3 0.7196
Line = YE23   3 0.6742
Line = YE24   3 0.6259
Line = YE26   3 0.5822
Line = YE27   3 0.5635
Line = YE33   3 0.5019
Line = YE40   3 0.6695
Line = YE41   3 0.4265
Line = YE48   3 0.6778
Line = YE49   3 0.6044
Line = YE51   3 0.4624
Line = YE69   3 0.4875
Line = YE80   3 0.7439
Line = RE1    2 0.5364
Line = RE10   3 0.4769
Line = RE11   3 0.7806
Line = RE12   3 0.6868
Line = RE13   3 0.6705
Line = RE15   3 0.4664
Line = RE16   3 0.6333
Line = RE17   3 0.5620
Line = RE18   3 0.6979
Line = RE2    3 0.7968
Line = RE3    3 0.4130
Line = RE4    3 0.5214
Line = RE5    3 0.5254
Line = RE6    3 0.6252
Line = RE7    3 0.6880
Line = RE8    2 0.5526
Line = GI1    3 0.4481
Line = GI10   3 0.4363
Line = GI11   3 0.5022
Line = GI12   3 0.5339
Line = GI13   2 0.5773
Line = GI14   3 0.4496
Line = GI15   3 0.7177
Line = GI2    3 0.6020
Line = GI3    3 0.4573
Line = GI4    2 0.4356
Line = GI5    3 0.6820
Line = GI6    2 0.5796
Line = GI7    3 0.5564
Line = GI8    3 0.5289
Line = GI9    3 0.5593
Line = MU1    3 0.7279
Line = MU10   3 0.6114
Line = MU11   3 0.5405
Line = MU12   3 0.6094
Line = MU13   3 0.5264
Line = MU14   3 0.7321
Line = MU15   2 0.6324
Line = MU16   3 0.5513
Line = MU17   3 0.5802
Line = MU18   3 0.6379
Line = MU19   3 0.4883
Line = MU2    3 0.5875
Line = MU20   3 0.6726
Line = MU3    3 0.5023
Line = MU4    2 0.6595
Line = MU5    3 0.5818
Line = MU6    3 0.7156
Line = MU7    2 0.6198
Line = MU8    3 0.5475
Line = MU9    3 0.6905
Line = MA12   2 0.7086
Line = MA13   3 0.6933
Line = MA16   1 0.7026
Line = MA18   3 0.6585
Line = MA19   3 0.6290
Line = MA20   3 0.6593
Line = MA21   3 0.6508
Line = MA23   3 0.6198
Line = MA26   3 0.5840
Line = MA27   3 0.7250
Line = MA28   3 0.4767
Line = MA3    2 1.0388
Line = MA30   3 0.6929
Line = MA31   3 0.5052
Line = MA32   3 0.7864
Line = MA33   3 0.5876
Line = MA5    3 0.6835
Line = MA6    3 0.6195
Line = MA7    3 0.6333
Line = MA9    3 0.6628
Line = UM13   3 0.6574
Line = UM17   3 0.6934
Line = UM18   3 0.6331
Line = UM2    3 0.5612
Line = UM20   3 0.6530
Line = UM21   3 0.6564
Line = UM22   3 0.5342
Line = UM23   3 0.5573
Line = UM25   3 0.6275
Line = UM26   2 0.5428
Line = UM28   3 0.7547
Line = UM29   3 0.5392
Line = UM4    3 0.6962
Line = UM5    3 0.5711
Line = UM6    2 0.4866
Line = UM7    3 0.8518
Line = UM8    2 0.4879
Line = UM9    3 0.7508
Line = KA1    3 0.4176
Line = KA10   3 0.6239
Line = KA11   3 0.5196
Line = KA13   3 0.4165
Line = KA14   3 0.6111
Line = KA15   2 0.4793
Line = KA16   3 0.5093
Line = KA17   3 0.5012
Line = KA18   3 0.5685
Line = KA2    3 0.6736
Line = KA23   3 0.6247
Line = KA24   3 0.4734
Line = KA25   3 0.5840
Line = KA28   2 0.7098
Line = KA29   3 0.6881
Line = KA3    3 0.5257
Line = KA5    3 0.6112
Line = KA6    3 0.6161
Line = KA7    3 0.6129
Line = KA9    3 0.4740
Line = VA1    2 0.4513
Line = VA11   3 0.4271
Line = VA15   1 0.7560
Line = VA18   3 0.5995
Line = VA22   3 0.8185
Line = VA26   3 0.4569
Line = VA30   3 0.5521
Line = VA34   3 0.6950
Line = VA35   3 0.4007
Line = VA44   3 0.6819
Line = VA46   3 0.5125
Line = VA47   3 0.4777
Line = VA48   3 0.5434
Line = VA55   3 0.5111
Line = VA57   3 0.6925
Line = VA6    2 0.4725
Line = VA66   3 0.5372
Line = VA67   3 0.5076
Line = VA71   3 0.4987
Line = VA9    2 0.4506
Line = AK1    3 0.5900
Line = AK10   3 0.5761
Line = AK11   3 0.5342
Line = AK12   3 0.5999
Line = AK13   3 0.6376
Line = AK14   3 0.5443
Line = AK15   3 0.5557
Line = AK16   3 0.5823
Line = AK17   3 0.4659
Line = AK18   3 0.5034
Line = AK2    3 0.5425
Line = AK20   3 0.6055
Line = AK21   3 0.7536
Line = AK3    3 0.6131
Line = AK4    3 0.6412
Line = AK5    3 0.4831
Line = AK6    3 0.6433
Line = AK7    3 0.5153
Line = AK8    3 0.5330
Line = AK9    3 0.6412
                      95%-CI
Line = YE11 [0.3562; 0.6471]
Line = YE13 [0.3491; 0.8210]
Line = YE14 [0.2085; 0.5476]
Line = YE15 [0.3881; 0.6668]
Line = YE19 [0.3852; 0.7871]
Line = YE20 [0.2837; 0.9943]
Line = YE21 [0.4762; 0.9771]
Line = YE22 [0.4340; 1.0052]
Line = YE23 [0.4760; 0.8724]
Line = YE24 [0.3106; 0.9412]
Line = YE26 [0.3442; 0.8203]
Line = YE27 [0.3968; 0.7302]
Line = YE33 [0.3640; 0.6398]
Line = YE40 [0.2967; 1.0424]
Line = YE41 [0.3641; 0.4890]
Line = YE48 [0.4323; 0.9232]
Line = YE49 [0.4166; 0.7922]
Line = YE51 [0.3687; 0.5562]
Line = YE69 [0.3742; 0.6008]
Line = YE80 [0.4016; 1.0862]
Line = RE1  [0.4414; 0.6314]
Line = RE10 [0.3851; 0.5687]
Line = RE11 [0.2497; 1.3115]
Line = RE12 [0.3543; 1.0193]
Line = RE13 [0.2984; 1.0426]
Line = RE15 [0.3607; 0.5721]
Line = RE16 [0.3833; 0.8833]
Line = RE17 [0.4332; 0.6909]
Line = RE18 [0.3341; 1.0618]
Line = RE2  [0.3826; 1.2110]
Line = RE3  [0.2912; 0.5349]
Line = RE4  [0.3986; 0.6443]
Line = RE5  [0.3691; 0.6817]
Line = RE6  [0.3345; 0.9159]
Line = RE7  [0.4196; 0.9564]
Line = RE8  [0.3163; 0.7889]
Line = GI1  [0.3502; 0.5460]
Line = GI10 [0.2547; 0.6179]
Line = GI11 [0.3672; 0.6373]
Line = GI12 [0.3475; 0.7203]
Line = GI13 [0.5112; 0.6434]
Line = GI14 [0.3197; 0.5795]
Line = GI15 [0.2655; 1.1699]
Line = GI2  [0.3851; 0.8188]
Line = GI3  [0.2906; 0.6240]
Line = GI4  [0.3334; 0.5378]
Line = GI5  [0.3382; 1.0258]
Line = GI6  [0.3538; 0.8054]
Line = GI7  [0.4273; 0.6855]
Line = GI8  [0.3043; 0.7536]
Line = GI9  [0.3640; 0.7546]
Line = MU1  [0.4360; 1.0198]
Line = MU10 [0.3416; 0.8812]
Line = MU11 [0.3594; 0.7215]
Line = MU12 [0.3625; 0.8563]
Line = MU13 [0.4237; 0.6290]
Line = MU14 [0.3718; 1.0925]
Line = MU15 [0.5694; 0.6955]
Line = MU16 [0.3521; 0.7505]
Line = MU17 [0.4257; 0.7346]
Line = MU18 [0.4438; 0.8319]
Line = MU19 [0.3769; 0.5998]
Line = MU2  [0.4821; 0.6929]
Line = MU20 [0.3953; 0.9500]
Line = MU3  [0.3219; 0.6826]
Line = MU4  [0.5965; 0.7226]
Line = MU5  [0.4319; 0.7317]
Line = MU6  [0.4004; 1.0308]
Line = MU7  [0.5567; 0.6829]
Line = MU8  [0.3411; 0.7540]
Line = MU9  [0.2803; 1.1007]
Line = MA12 [0.3595; 1.0578]
Line = MA13 [0.4943; 0.8924]
Line = MA16 [0.6332; 0.7721]
Line = MA18 [0.3546; 0.9623]
Line = MA19 [0.4811; 0.7770]
Line = MA20 [0.5086; 0.8099]
Line = MA21 [0.4603; 0.8413]
Line = MA23 [0.4432; 0.7963]
Line = MA26 [0.4786; 0.6895]
Line = MA27 [0.5006; 0.9493]
Line = MA28 [0.3645; 0.5889]
Line = MA3  [0.5406; 1.5370]
Line = MA30 [0.4242; 0.9617]
Line = MA31 [0.2938; 0.7165]
Line = MA32 [0.3634; 1.2094]
Line = MA33 [0.4810; 0.6941]
Line = MA5  [0.4836; 0.8833]
Line = MA6  [0.4697; 0.7692]
Line = MA7  [0.3943; 0.8723]
Line = MA9  [0.4474; 0.8782]
Line = UM13 [0.3599; 0.9550]
Line = UM17 [0.3552; 1.0315]
Line = UM18 [0.3245; 0.9416]
Line = UM2  [0.3306; 0.7919]
Line = UM20 [0.3529; 0.9531]
Line = UM21 [0.3912; 0.9216]
Line = UM22 [0.3968; 0.6716]
Line = UM23 [0.4254; 0.6893]
Line = UM25 [0.2552; 0.9998]
Line = UM26 [0.3196; 0.7659]
Line = UM28 [0.3306; 1.1788]
Line = UM29 [0.3363; 0.7421]
Line = UM4  [0.3415; 1.0509]
Line = UM5  [0.4057; 0.7364]
Line = UM6  [0.3842; 0.5891]
Line = UM7  [0.3637; 1.3399]
Line = UM8  [0.2667; 0.7090]
Line = UM9  [0.4078; 1.0939]
Line = KA1  [0.2549; 0.5803]
Line = KA10 [0.3756; 0.8722]
Line = KA11 [0.3710; 0.6681]
Line = KA13 [0.3282; 0.5049]
Line = KA14 [0.2615; 0.9608]
Line = KA15 [0.1368; 0.8219]
Line = KA16 [0.2645; 0.7541]
Line = KA17 [0.2863; 0.7161]
Line = KA18 [0.4166; 0.7204]
Line = KA2  [0.2583; 1.0889]
Line = KA23 [0.2499; 0.9995]
Line = KA24 [0.3183; 0.6284]
Line = KA25 [0.4381; 0.7299]
Line = KA28 [0.3194; 1.1003]
Line = KA29 [0.1333; 1.2429]
Line = KA3  [0.2686; 0.7828]
Line = KA5  [0.2891; 0.9334]
Line = KA6  [0.2812; 0.9509]
Line = KA7  [0.4260; 0.7999]
Line = KA9  [0.2853; 0.6627]
Line = VA1  [0.2916; 0.6111]
Line = VA11 [0.2447; 0.6095]
Line = VA15 [0.5949; 0.9171]
Line = VA18 [0.2260; 0.9731]
Line = VA22 [0.2812; 1.3559]
Line = VA26 [0.2566; 0.6572]
Line = VA30 [0.2966; 0.8076]
Line = VA34 [0.1927; 1.1972]
Line = VA35 [0.2573; 0.5441]
Line = VA44 [0.2162; 1.1475]
Line = VA46 [0.3524; 0.6726]
Line = VA47 [0.2819; 0.6734]
Line = VA48 [0.3198; 0.7669]
Line = VA55 [0.2208; 0.8014]
Line = VA57 [0.3737; 1.0113]
Line = VA6  [0.0501; 0.8949]
Line = VA66 [0.2598; 0.8147]
Line = VA67 [0.3398; 0.6755]
Line = VA71 [0.2762; 0.7211]
Line = VA9  [0.1625; 0.7388]
Line = AK1  [0.4268; 0.7532]
Line = AK10 [0.3946; 0.7575]
Line = AK11 [0.4035; 0.6650]
Line = AK12 [0.4619; 0.7380]
Line = AK13 [0.4447; 0.8305]
Line = AK14 [0.4017; 0.6869]
Line = AK15 [0.4064; 0.7050]
Line = AK16 [0.4501; 0.7146]
Line = AK17 [0.3599; 0.5720]
Line = AK18 [0.3472; 0.6596]
Line = AK2  [0.3334; 0.7517]
Line = AK20 [0.4443; 0.7666]
Line = AK21 [0.3950; 1.1121]
Line = AK3  [0.4745; 0.7516]
Line = AK4  [0.4102; 0.8722]
Line = AK5  [0.4303; 0.5360]
Line = AK6  [0.3213; 0.9654]
Line = AK7  [0.3441; 0.6864]
Line = AK8  [0.3413; 0.7247]
Line = AK9  [0.4304; 0.8520]
             tau^2    tau      Q
Line = YE11 0.0136 0.1168  21.55
Line = YE13 0.0409 0.2023  32.54
Line = YE14 0.0200 0.1414  28.71
Line = YE15 0.0128 0.1133  20.50
Line = YE19 0.0287 0.1693  47.34
Line = YE20 0.0957 0.3094  61.53
Line = YE21 0.0463 0.2153  35.69
Line = YE22 0.0611 0.2472  54.10
Line = YE23 0.0282 0.1678  31.53
Line = YE24 0.0747 0.2734  51.85
Line = YE26 0.0413 0.2031  44.72
Line = YE27 0.0193 0.1388  28.88
Line = YE33 0.0125 0.1119  25.17
Line = YE40 0.1056 0.3250  70.38
Line = YE41 0.0014 0.0377   3.80
Line = YE48 0.0445 0.2109  33.44
Line = YE49 0.0252 0.1588  48.96
Line = YE51 0.0047 0.0684   9.21
Line = YE69 0.0078 0.0885  12.70
Line = YE80 0.0888 0.2981  79.89
Line = RE1  0.0038 0.0613   4.90
Line = RE10 0.0044 0.0664   8.56
Line = RE11 0.2170 0.4658  94.56
Line = RE12 0.0833 0.2886  42.16
Line = RE13 0.1046 0.3235  50.76
Line = RE15 0.0064 0.0798  11.55
Line = RE16 0.0459 0.2142  24.73
Line = RE17 0.0103 0.1014  13.99
Line = RE18 0.1003 0.3167  53.13
Line = RE2  0.1309 0.3618  62.13
Line = RE3  0.0087 0.0935  12.02
Line = RE4  0.0093 0.0963  14.55
Line = RE5  0.0158 0.1256  28.68
Line = RE6  0.0630 0.2509  42.30
Line = RE7  0.0534 0.2311  36.35
Line = RE8  0.0281 0.1676  29.57
Line = GI1  0.0052 0.0720   9.70
Line = GI10 0.0230 0.1517  27.08
Line = GI11 0.0116 0.1076  21.28
Line = GI12 0.0242 0.1555  17.81
Line = GI13      0      0   0.25
Line = GI14 0.0105 0.1027  19.24
Line = GI15 0.1565 0.3956  68.80
Line = GI2  0.0337 0.1837  28.29
Line = GI3  0.0184 0.1357  27.07
Line = GI4  0.0044 0.0661   5.05
Line = GI5  0.0891 0.2986  42.35
Line = GI6  0.0255 0.1598  26.26
Line = GI7  0.0103 0.1013  10.23
Line = GI8  0.0364 0.1908  31.04
Line = GI9  0.0263 0.1623  28.08
Line = MU1  0.0639 0.2528  73.27
Line = MU10 0.0542 0.2329  38.82
Line = MU11 0.0231 0.1520  27.72
Line = MU12 0.0450 0.2122  48.52
Line = MU13 0.0061 0.0782  12.33
Line = MU14 0.0988 0.3142  71.40
Line = MU15      0      0   0.00
Line = MU16 0.0285 0.1687  41.14
