                            95%-CI
YE_Colinet 0.4219 [0.3902; 0.4536]
YE_Hoedjes        0.2 YE51
YE_Onder          0.2 YE51
YE_Colinet        0.2 YE69
YE_Hoedjes        0.2 YE69
YE_Onder          0.2 YE69
YE_Colinet        0.2 YE80
YE_Hoedjes        0.2 YE80
YE_Onder          0.2 YE80
RE_Onder          0.2  RE1
RE_Colinet        0.2 RE10
RE_Hoedjes        0.2 RE10
RE_Onder          0.2 RE10
RE_Colinet        0.2 RE11
RE_Hoedjes        0.2 RE11
RE_Onder          0.2 RE11
RE_Colinet        0.2 RE12
RE_Hoedjes        0.2 RE12
RE_Onder          0.2 RE12
RE_Colinet        0.2 RE13
RE_Hoedjes        0.2 RE13
RE_Onder          0.2 RE13
RE_Colinet        0.2 RE15
RE_Hoedjes        0.2 RE15
RE_Onder          0.2 RE15
RE_Colinet        0.2 RE16
RE_Hoedjes        0.2 RE16
RE_Onder          0.2 RE16
RE_Colinet        0.2 RE17
RE_Hoedjes        0.2 RE17
RE_Onder          0.2 RE17
RE_Colinet        0.2 RE18
RE_Hoedjes        0.2 RE18
RE_Onder          0.2 RE18
RE_Colinet        0.2  RE2
RE_Hoedjes        0.2  RE2
RE_Onder          0.2  RE2
RE_Colinet        0.2  RE3
RE_Hoedjes        0.2  RE3
RE_Onder          0.2  RE3
RE_Colinet        0.2  RE4
RE_Hoedjes        0.2  RE4
RE_Onder          0.2  RE4
RE_Colinet        0.2  RE5
RE_Hoedjes        0.2  RE5
RE_Onder          0.2  RE5
RE_Colinet        0.2  RE6
RE_Hoedjes        0.2  RE6
RE_Onder          0.2  RE6
RE_Colinet        0.2  RE7
RE_Hoedjes        0.2  RE7
RE_Onder          0.2  RE7
RE_Colinet        0.2  RE8
RE_Hoedjes        0.2  RE8
RE_Onder          0.2  RE8
GI_Colinet        0.2  GI1
GI_Hoedjes        0.2  GI1
GI_Onder          0.2  GI1
GI_Colinet        0.2 GI10
GI_Hoedjes        0.2 GI10
GI_Onder          0.2 GI10
GI_Colinet        0.2 GI11
GI_Hoedjes        0.2 GI11
GI_Onder          0.2 GI11
GI_Colinet        0.2 GI12
GI_Hoedjes        0.2 GI12
GI_Onder          0.2 GI12
GI_Colinet        0.2 GI13
GI_Hoedjes        0.2 GI13
GI_Onder          0.2 GI13
GI_Colinet        0.2 GI14
GI_Hoedjes        0.2 GI14
GI_Onder          0.2 GI14
GI_Colinet        0.2 GI15
GI_Hoedjes        0.2 GI15
GI_Onder          0.2 GI15
GI_Colinet        0.2  GI2
GI_Hoedjes        0.2  GI2
GI_Onder          0.2  GI2
GI_Colinet        0.2  GI3
GI_Hoedjes        0.2  GI3
GI_Onder          0.2  GI3
GI_Colinet        0.2  GI4
GI_Hoedjes        0.2  GI4
GI_Onder          0.2  GI4
GI_Colinet        0.2  GI5
GI_Hoedjes        0.2  GI5
GI_Onder          0.2  GI5
GI_Colinet        0.2  GI6
GI_Hoedjes        0.2  GI6
GI_Onder          0.2  GI6
GI_Colinet        0.2  GI7
GI_Hoedjes        0.2  GI7
GI_Onder          0.2  GI7
GI_Colinet        0.2  GI8
GI_Hoedjes        0.2  GI8
GI_Onder          0.2  GI8
GI_Colinet        0.2  GI9
GI_Hoedjes        0.2  GI9
GI_Onder          0.2  GI9
MU_Colinet        0.2  MU1
MU_Hoedjes        0.2  MU1
MU_Onder          0.2  MU1
MU_Colinet        0.2 MU10
MU_Hoedjes        0.2 MU10
MU_Onder          0.2 MU10
MU_Colinet        0.2 MU11
MU_Hoedjes        0.2 MU11
MU_Onder          0.2 MU11
MU_Colinet        0.2 MU12
MU_Hoedjes        0.2 MU12
MU_Onder          0.2 MU12
MU_Colinet        0.2 MU13
MU_Hoedjes        0.2 MU13
MU_Onder          0.2 MU13
MU_Colinet        0.2 MU14
MU_Hoedjes        0.2 MU14
MU_Onder          0.2 MU14
MU_Colinet        0.2 MU15
MU_Hoedjes        0.2 MU15
MU_Onder          0.2 MU15
MU_Colinet        0.2 MU16
MU_Hoedjes        0.2 MU16
MU_Onder          0.2 MU16
MU_Colinet        0.2 MU17
MU_Hoedjes        0.2 MU17
MU_Onder          0.2 MU17
MU_Colinet        0.2 MU18
MU_Hoedjes        0.2 MU18
MU_Onder          0.2 MU18
MU_Colinet        0.2 MU19
MU_Hoedjes        0.2 MU19
MU_Onder          0.2 MU19
MU_Colinet        0.2  MU2
MU_Hoedjes        0.2  MU2
MU_Onder          0.2  MU2
MU_Colinet        0.2 MU20
MU_Hoedjes        0.2 MU20
MU_Onder          0.2 MU20
MU_Colinet        0.2  MU3
MU_Hoedjes        0.2  MU3
MU_Onder          0.2  MU3
MU_Colinet        0.2  MU4
MU_Hoedjes        0.2  MU4
MU_Onder          0.2  MU4
MU_Colinet        0.2  MU5
MU_Hoedjes        0.2  MU5
MU_Onder          0.2  MU5
MU_Colinet        0.2  MU6
MU_Hoedjes        0.2  MU6
MU_Onder          0.2  MU6
MU_Colinet        0.2  MU7
MU_Hoedjes        0.2  MU7
MU_Onder          0.2  MU7
MU_Colinet        0.2  MU8
MU_Hoedjes        0.2  MU8
MU_Onder          0.2  MU8
MU_Colinet        0.2  MU9
MU_Hoedjes        0.2  MU9
MU_Onder          0.2  MU9
MA_Colinet        0.2 MA12
MA_Hoedjes        0.2 MA12
MA_Onder          0.2 MA12
MA_Colinet        0.2 MA13
MA_Hoedjes        0.2 MA13
MA_Onder          0.2 MA13
MA_Colinet        0.2 MA16
MA_Hoedjes        0.2 MA16
MA_Onder          0.2 MA16
MA_Colinet        0.2 MA18
MA_Hoedjes        0.2 MA18
MA_Onder          0.2 MA18
MA_Colinet        0.2 MA19
MA_Hoedjes        0.2 MA19
MA_Onder          0.2 MA19
MA_Colinet        0.2 MA20
MA_Hoedjes        0.2 MA20
MA_Onder          0.2 MA20
MA_Colinet        0.2 MA21
MA_Hoedjes        0.2 MA21
MA_Onder          0.2 MA21
MA_Colinet        0.2 MA23
MA_Hoedjes        0.2 MA23
MA_Onder          0.2 MA23
MA_Hoedjes        0.2 MA26
MA_Onder          0.2 MA26
MA_Colinet        0.2 MA27
MA_Hoedjes        0.2 MA27
MA_Onder          0.2 MA27
MA_Colinet        0.2 MA28
MA_Hoedjes        0.2 MA28
MA_Onder          0.2 MA28
MA_Colinet        0.2  MA3
MA_Hoedjes        0.2  MA3
MA_Onder          0.2  MA3
MA_Colinet        0.2 MA30
MA_Hoedjes        0.2 MA30
MA_Onder          0.2 MA30
MA_Colinet        0.2 MA31
MA_Hoedjes        0.2 MA31
MA_Onder          0.2 MA31
MA_Colinet        0.2 MA32
MA_Hoedjes        0.2 MA32
MA_Onder          0.2 MA32
MA_Colinet        0.2 MA33
MA_Hoedjes        0.2 MA33
MA_Onder          0.2 MA33
MA_Colinet        0.2  MA5
MA_Hoedjes        0.2  MA5
MA_Onder          0.2  MA5
MA_Colinet        0.2  MA6
MA_Hoedjes        0.2  MA6
MA_Onder          0.2  MA6
MA_Colinet        0.2  MA7
MA_Hoedjes        0.2  MA7
MA_Onder          0.2  MA7
MA_Hoedjes        0.2  MA9
MA_Onder          0.2  MA9
UM_Colinet        0.2 UM13
UM_Hoedjes        0.2 UM13
UM_Onder          0.2 UM13
UM_Colinet        0.2 UM17
UM_Hoedjes        0.2 UM17
UM_Onder          0.2 UM17
UM_Colinet        0.2 UM18
UM_Hoedjes        0.2 UM18
UM_Onder          0.2 UM18
UM_Colinet        0.2  UM2
UM_Hoedjes        0.2  UM2
UM_Onder          0.2  UM2
UM_Colinet        0.2 UM20
UM_Hoedjes        0.2 UM20
UM_Onder          0.2 UM20
UM_Colinet        0.2 UM21
UM_Hoedjes        0.2 UM21
UM_Onder          0.2 UM21
UM_Colinet        0.2 UM22
UM_Onder          0.2 UM22
UM_Colinet        0.2 UM23
UM_Hoedjes        0.2 UM23
UM_Onder          0.2 UM23
UM_Colinet        0.2 UM25
UM_Hoedjes        0.2 UM25
UM_Onder          0.2 UM25
UM_Colinet        0.2 UM26
UM_Hoedjes        0.2 UM26
UM_Onder          0.2 UM26
UM_Colinet        0.2 UM28
UM_Hoedjes        0.2 UM28
UM_Onder          0.2 UM28
UM_Colinet        0.2 UM29
UM_Hoedjes        0.2 UM29
UM_Onder          0.2 UM29
UM_Colinet        0.2  UM4
UM_Hoedjes        0.2  UM4
UM_Onder          0.2  UM4
UM_Colinet        0.2  UM5
UM_Hoedjes        0.2  UM5
UM_Onder          0.2  UM5
UM_Hoedjes        0.2  UM6
UM_Onder          0.2  UM6
UM_Colinet        0.2  UM7
UM_Hoedjes        0.2  UM7
UM_Onder          0.2  UM7
UM_Colinet        0.2  UM8
UM_Hoedjes        0.2  UM8
UM_Colinet        0.2  UM9
UM_Hoedjes        0.2  UM9
UM_Onder          0.2  UM9
KA_Colinet        0.2  KA1
KA_Hoedjes        0.2  KA1
KA_Onder          0.2  KA1
KA_Colinet        0.2 KA10
KA_Hoedjes        0.2 KA10
KA_Onder          0.2 KA10
KA_Colinet        0.2 KA11
KA_Hoedjes        0.2 KA11
KA_Onder          0.2 KA11
KA_Colinet        0.2 KA13
KA_Hoedjes        0.2 KA13
KA_Onder          0.2 KA13
KA_Colinet        0.2 KA14
KA_Hoedjes        0.2 KA14
KA_Onder          0.2 KA14
KA_Colinet        0.2 KA15
KA_Hoedjes        0.2 KA15
KA_Onder          0.2 KA15
KA_Colinet        0.2 KA16
KA_Hoedjes        0.2 KA16
KA_Onder          0.2 KA16
KA_Colinet        0.2 KA17
KA_Hoedjes        0.2 KA17
KA_Onder          0.2 KA17
KA_Colinet        0.2 KA18
KA_Hoedjes        0.2 KA18
KA_Onder          0.2 KA18
KA_Colinet        0.2  KA2
KA_Hoedjes        0.2  KA2
KA_Onder          0.2  KA2
KA_Colinet        0.2 KA23
KA_Hoedjes        0.2 KA23
KA_Onder          0.2 KA23
KA_Colinet        0.2 KA24
KA_Hoedjes        0.2 KA24
KA_Onder          0.2 KA24
KA_Colinet        0.2 KA25
KA_Hoedjes        0.2 KA25
KA_Onder          0.2 KA25
KA_Colinet        0.2 KA28
KA_Hoedjes        0.2 KA28
KA_Onder          0.2 KA28
KA_Colinet        0.2 KA29
KA_Hoedjes        0.2 KA29
KA_Onder          0.2 KA29
KA_Colinet        0.2  KA3
KA_Hoedjes        0.2  KA3
KA_Onder          0.2  KA3
KA_Colinet        0.2  KA5
KA_Hoedjes        0.2  KA5
KA_Onder          0.2  KA5
KA_Colinet        0.2  KA6
KA_Hoedjes        0.2  KA6
KA_Onder          0.2  KA6
KA_Colinet        0.2  KA7
KA_Hoedjes        0.2  KA7
KA_Onder          0.2  KA7
KA_Colinet        0.2  KA9
KA_Hoedjes        0.2  KA9
KA_Onder          0.2  KA9
VA_Colinet        0.2  VA1
VA_Hoedjes        0.2  VA1
VA_Onder          0.2  VA1
VA_Colinet        0.2 VA11
VA_Hoedjes        0.2 VA11
VA_Onder          0.2 VA11
VA_Colinet        0.2 VA15
VA_Hoedjes        0.2 VA15
VA_Onder          0.2 VA15
VA_Colinet        0.2 VA18
VA_Hoedjes        0.2 VA18
VA_Onder          0.2 VA18
VA_Colinet        0.2 VA22
VA_Hoedjes        0.2 VA22
VA_Onder          0.2 VA22
VA_Colinet        0.2 VA26
VA_Hoedjes        0.2 VA26
VA_Onder          0.2 VA26
VA_Colinet        0.2 VA30
VA_Hoedjes        0.2 VA30
VA_Onder          0.2 VA30
VA_Colinet        0.2 VA34
VA_Hoedjes        0.2 VA34
VA_Onder          0.2 VA34
VA_Colinet        0.2 VA35
VA_Hoedjes        0.2 VA35
VA_Onder          0.2 VA35
VA_Colinet        0.2 VA44
VA_Hoedjes        0.2 VA44
VA_Onder          0.2 VA44
VA_Colinet        0.2 VA46
VA_Hoedjes        0.2 VA46
VA_Onder          0.2 VA46
VA_Colinet        0.2 VA47
VA_Hoedjes        0.2 VA47
VA_Onder          0.2 VA47
VA_Colinet        0.2 VA48
VA_Hoedjes        0.2 VA48
VA_Onder          0.2 VA48
VA_Colinet        0.2 VA55
VA_Hoedjes        0.2 VA55
VA_Onder          0.2 VA55
VA_Colinet        0.2 VA57
VA_Hoedjes        0.2 VA57
VA_Onder          0.2 VA57
VA_Colinet        0.2  VA6
VA_Hoedjes        0.2  VA6
VA_Onder          0.2  VA6
VA_Colinet        0.2 VA66
VA_Hoedjes        0.2 VA66
VA_Onder          0.2 VA66
VA_Colinet        0.2 VA67
VA_Hoedjes        0.2 VA67
VA_Onder          0.2 VA67
VA_Colinet        0.2 VA71
VA_Hoedjes        0.2 VA71
VA_Onder          0.2 VA71
VA_Colinet        0.2  VA9
VA_Hoedjes        0.2  VA9
VA_Onder          0.2  VA9
AK_Colinet        0.2  AK1
AK_Hoedjes        0.2  AK1
AK_Onder          0.2  AK1
AK_Colinet        0.2 AK10
AK_Hoedjes        0.2 AK10
AK_Onder          0.2 AK10
AK_Colinet        0.2 AK11
AK_Hoedjes        0.2 AK11
AK_Onder          0.2 AK11
AK_Colinet        0.2 AK12
AK_Hoedjes        0.2 AK12
AK_Onder          0.2 AK12
AK_Colinet        0.2 AK13
AK_Hoedjes        0.2 AK13
AK_Onder          0.2 AK13
AK_Colinet        0.2 AK14
AK_Hoedjes        0.2 AK14
AK_Onder          0.2 AK14
AK_Colinet        0.2 AK15
AK_Hoedjes        0.2 AK15
AK_Onder          0.2 AK15
AK_Colinet        0.2 AK16
AK_Hoedjes        0.2 AK16
AK_Onder          0.2 AK16
AK_Colinet        0.2 AK17
AK_Hoedjes        0.2 AK17
AK_Onder          0.2 AK17
AK_Colinet        0.2 AK18
AK_Hoedjes        0.2 AK18
AK_Onder          0.2 AK18
AK_Colinet        0.2  AK2
AK_Hoedjes        0.2  AK2
AK_Onder          0.2  AK2
AK_Colinet        0.2 AK20
AK_Hoedjes        0.2 AK20
AK_Onder          0.2 AK20
AK_Colinet        0.2 AK21
AK_Hoedjes        0.2 AK21
AK_Onder          0.2 AK21
AK_Colinet        0.2  AK3
AK_Hoedjes        0.2  AK3
AK_Onder          0.2  AK3
AK_Colinet        0.2  AK4
AK_Hoedjes        0.2  AK4
AK_Onder          0.2  AK4
AK_Colinet        0.2  AK5
AK_Hoedjes        0.2  AK5
AK_Onder          0.2  AK5
AK_Colinet        0.2  AK6
AK_Hoedjes        0.2  AK6
AK_Onder          0.2  AK6
AK_Colinet        0.2  AK7
AK_Hoedjes        0.2  AK7
AK_Onder          0.2  AK7
AK_Colinet        0.2  AK8
AK_Hoedjes        0.2  AK8
AK_Onder          0.2  AK8
AK_Colinet        0.2  AK9
AK_Hoedjes        0.2  AK9
AK_Onder          0.2  AK9

Number of studies combined: k = 498

                           
Random effects model 0.4650
                               95%-CI
Random effects model [0.4615; 0.4686]
                          z
Random effects model 259.15
                     p-value
Random effects model       0

Quantifying heterogeneity:
 tau^2 = 0.0014 [0.0012; 0.0016]; tau = 0.0370 [0.0346; 0.0402]
 I^2 = 85.5% [84.4%; 86.5%]; H = 2.62 [2.53; 2.72]

Test of heterogeneity:
       Q d.f. p-value
 3424.59  497       0

Results for subgroups (random effects model):
              k       
Line = YE11   2 0.4193
Line = YE13   3 0.4489
Line = YE14   2 0.4397
Line = YE15   3 0.4459
Line = YE19   3 0.4216
Line = YE20   3 0.4481
Line = YE21   3 0.4814
Line = YE22   3 0.4372
Line = YE23   3 0.4564
Line = YE24   3 0.4591
Line = YE26   3 0.4390
Line = YE27   3 0.4760
Line = YE33   3 0.5051
Line = YE40   3 0.4297
Line = YE41   3 0.4370
Line = YE48   3 0.4058
Line = YE49   3 0.4355
Line = YE51   3 0.4548
Line = YE69   3 0.4639
Line = YE80   3 0.4991
Line = RE1    1 0.4908
Line = RE10   3 0.4677
Line = RE11   3 0.4648
Line = RE12   3 0.4887
Line = RE13   3 0.5195
Line = RE15   3 0.4486
Line = RE16   3 0.4963
Line = RE17   3 0.4663
Line = RE18   3 0.4789
Line = RE2    3 0.5438
Line = RE3    3 0.4909
Line = RE4    3 0.4759
Line = RE5    3 0.4564
Line = RE6    3 0.4799
Line = RE7    3 0.4917
Line = RE8    3 0.4645
Line = GI1    3 0.4805
Line = GI10   3 0.4606
Line = GI11   3 0.4208
Line = GI12   3 0.4279
Line = GI13   3 0.4577
Line = GI14   3 0.4937
Line = GI15   3 0.4439
Line = GI2    3 0.4364
Line = GI3    3 0.4407
Line = GI4    3 0.4403
Line = GI5    3 0.4699
Line = GI6    3 0.4761
Line = GI7    3 0.4511
Line = GI8    3 0.4484
Line = GI9    3 0.4832
Line = MU1    3 0.4228
Line = MU10   3 0.4169
Line = MU11   3 0.4483
Line = MU12   3 0.4962
Line = MU13   3 0.4244
Line = MU14   3 0.4759
Line = MU15   3 0.4852
Line = MU16   3 0.4390
Line = MU17   3 0.4848
Line = MU18   3 0.4744
Line = MU19   3 0.5050
Line = MU2    3 0.4545
Line = MU20   3 0.4778
Line = MU3    3 0.4727
Line = MU4    3 0.4668
Line = MU5    3 0.5039
Line = MU6    3 0.4407
Line = MU7    3 0.4256
Line = MU8    3 0.4675
Line = MU9    3 0.4142
Line = MA12   3 0.4766
Line = MA13   3 0.4752
Line = MA16   3 0.4210
Line = MA18   3 0.5168
Line = MA19   3 0.4452
Line = MA20   3 0.4608
Line = MA21   3 0.5203
Line = MA23   3 0.4661
Line = MA26   2 0.4609
Line = MA27   3 0.4721
Line = MA28   3 0.5177
Line = MA3    3 0.4445
Line = MA30   3 0.4885
Line = MA31   3 0.4760
Line = MA32   3 0.5051
Line = MA33   3 0.4446
Line = MA5    3 0.4598
Line = MA6    3 0.4511
Line = MA7    3 0.4430
Line = MA9    2 0.4394
Line = UM13   3 0.4468
Line = UM17   3 0.4340
Line = UM18   3 0.4806
Line = UM2    3 0.4790
Line = UM20   3 0.5114
Line = UM21   3 0.4242
Line = UM22   2 0.4700
Line = UM23   3 0.4665
Line = UM25   3 0.5208
Line = UM26   3 0.5044
Line = UM28   3 0.4409
Line = UM29   3 0.4538
Line = UM4    3 0.5053
Line = UM5    3 0.4448
Line = UM6    2 0.4733
Line = UM7    3 0.4592
Line = UM8    2 0.4549
Line = UM9    3 0.5065
Line = KA1    3 0.4570
Line = KA10   3 0.4639
Line = KA11   3 0.5101
Line = KA13   3 0.4079
Line = KA14   3 0.4498
Line = KA15   3 0.4595
Line = KA16   3 0.4791
Line = KA17   3 0.4685
Line = KA18   3 0.4851
Line = KA2    3 0.5041
Line = KA23   3 0.4613
Line = KA24   3 0.4592
Line = KA25   3 0.4799
Line = KA28   3 0.4894
Line = KA29   3 0.5041
Line = KA3    3 0.4865
Line = KA5    3 0.4533
Line = KA6    3 0.4483
Line = KA7    3 0.4858
Line = KA9    3 0.4862
Line = VA1    3 0.4060
Line = VA11   3 0.5570
Line = VA15   3 0.5170
Line = VA18   3 0.4709
Line = VA22   3 0.4957
Line = VA26   3 0.4205
Line = VA30   3 0.5007
Line = VA34   3 0.4802
Line = VA35   3 0.4552
Line = VA44   3 0.4893
Line = VA46   3 0.5126
Line = VA47   3 0.5315
Line = VA48   3 0.4635
Line = VA55   3 0.4450
Line = VA57   3 0.5221
Line = VA6    3 0.4858
Line = VA66   3 0.4868
Line = VA67   3 0.4649
Line = VA71   3 0.4806
Line = VA9    3 0.4287
Line = AK1    3 0.4636
Line = AK10   3 0.4572
Line = AK11   3 0.4258
Line = AK12   3 0.4062
Line = AK13   3 0.4375
Line = AK14   3 0.4333
Line = AK15   3 0.3966
Line = AK16   3 0.4802
Line = AK17   3 0.4140
Line = AK18   3 0.4628
Line = AK2    3 0.4971
Line = AK20   3 0.4129
Line = AK21   3 0.4619
Line = AK3    3 0.4470
Line = AK4    3 0.4440
Line = AK5    3 0.4862
Line = AK6    3 0.4488
Line = AK7    3 0.4452
Line = AK8    3 0.4560
Line = AK9    3 0.3912
                      95%-CI
Line = YE11 [0.3981; 0.4404]
Line = YE13 [0.4186; 0.4793]
Line = YE14 [0.4157; 0.4636]
Line = YE15 [0.4070; 0.4849]
Line = YE19 [0.3935; 0.4497]
Line = YE20 [0.4038; 0.4924]
Line = YE21 [0.4287; 0.5340]
Line = YE22 [0.3892; 0.4852]
Line = YE23 [0.3839; 0.5289]
Line = YE24 [0.4094; 0.5088]
Line = YE26 [0.4025; 0.4754]
Line = YE27 [0.4589; 0.4932]
Line = YE33 [0.4528; 0.5574]
Line = YE40 [0.3961; 0.4633]
Line = YE41 [0.4134; 0.4606]
Line = YE48 [0.3887; 0.4230]
Line = YE49 [0.3947; 0.4764]
Line = YE51 [0.4376; 0.4719]
Line = YE69 [0.4249; 0.5029]
Line = YE80 [0.4651; 0.5332]
Line = RE1  [0.4602; 0.5214]
Line = RE10 [0.4260; 0.5095]
Line = RE11 [0.4368; 0.4929]
Line = RE12 [0.4369; 0.5406]
Line = RE13 [0.4876; 0.5514]
Line = RE15 [0.4309; 0.4664]
Line = RE16 [0.4743; 0.5183]
Line = RE17 [0.4247; 0.5080]
Line = RE18 [0.4227; 0.5351]
Line = RE2  [0.4974; 0.5902]
Line = RE3  [0.4732; 0.5086]
Line = RE4  [0.4252; 0.5266]
Line = RE5  [0.4387; 0.4741]
Line = RE6  [0.4275; 0.5323]
Line = RE7  [0.4456; 0.5378]
Line = RE8  [0.4418; 0.4872]
Line = GI1  [0.4432; 0.5178]
Line = GI10 [0.4428; 0.4783]
Line = GI11 [0.4030; 0.4386]
Line = GI12 [0.3843; 0.4716]
Line = GI13 [0.3630; 0.5524]
Line = GI14 [0.4609; 0.5266]
Line = GI15 [0.4162; 0.4715]
Line = GI2  [0.4186; 0.4541]
Line = GI3  [0.4201; 0.4614]
Line = GI4  [0.4182; 0.4623]
Line = GI5  [0.4302; 0.5097]
Line = GI6  [0.4312; 0.5209]
Line = GI7  [0.4095; 0.4928]
Line = GI8  [0.4306; 0.4661]
Line = GI9  [0.4424; 0.5241]
Line = MU1  [0.3993; 0.4464]
Line = MU10 [0.3982; 0.4356]
Line = MU11 [0.3827; 0.5139]
Line = MU12 [0.4443; 0.5481]
Line = MU13 [0.3902; 0.4585]
Line = MU14 [0.4568; 0.4950]
Line = MU15 [0.4573; 0.5131]
Line = MU16 [0.4027; 0.4753]
Line = MU17 [0.4645; 0.5051]
Line = MU18 [0.4433; 0.5055]
Line = MU19 [0.4837; 0.5263]
Line = MU2  [0.4376; 0.4713]
Line = MU20 [0.4457; 0.5099]
Line = MU3  [0.4415; 0.5039]
Line = MU4  [0.4500; 0.4836]
Line = MU5  [0.4871; 0.5208]
Line = MU6  [0.4061; 0.4753]
Line = MU7  [0.4003; 0.4509]
Line = MU8  [0.4506; 0.4843]
Line = MU9  [0.3956; 0.4328]
Line = MA12 [0.4375; 0.5157]
Line = MA13 [0.4486; 0.5018]
Line = MA16 [0.3980; 0.4439]
Line = MA18 [0.4915; 0.5422]
Line = MA19 [0.4022; 0.4883]
Line = MA20 [0.4096; 0.5119]
Line = MA21 [0.4883; 0.5524]
Line = MA23 [0.4112; 0.5209]
Line = MA26 [0.4231; 0.4986]
Line = MA27 [0.4538; 0.4904]
Line = MA28 [0.4777; 0.5577]
Line = MA3  [0.4093; 0.4798]
Line = MA30 [0.4383; 0.5387]
Line = MA31 [0.4430; 0.5091]
Line = MA32 [0.4604; 0.5498]
Line = MA33 [0.4099; 0.4794]
Line = MA5  [0.4003; 0.5192]
Line = MA6  [0.3975; 0.5046]
Line = MA7  [0.3982; 0.4877]
Line = MA9  [0.4007; 0.4781]
Line = UM13 [0.3992; 0.4944]
Line = UM17 [0.4166; 0.4514]
Line = UM18 [0.4356; 0.5256]
Line = UM2  [0.4106; 0.5474]
Line = UM20 [0.4780; 0.5448]
Line = UM21 [0.3467; 0.5018]
Line = UM22 [0.4478; 0.4923]
Line = UM23 [0.4492; 0.4839]
Line = UM25 [0.4604; 0.5812]
Line = UM26 [0.4498; 0.5589]
Line = UM28 [0.3913; 0.4905]
Line = UM29 [0.4364; 0.4712]
Line = UM4  [0.4860; 0.5247]
Line = UM5  [0.4112; 0.4784]
Line = UM6  [0.4528; 0.4937]
Line = UM7  [0.3939; 0.5246]
Line = UM8  [0.4064; 0.5033]
Line = UM9  [0.4846; 0.5284]
Line = KA1  [0.4377; 0.4762]
Line = KA10 [0.4170; 0.5107]
Line = KA11 [0.4622; 0.5579]
Line = KA13 [0.3909; 0.4248]
Line = KA14 [0.4173; 0.4822]
Line = KA15 [0.4426; 0.4764]
Line = KA16 [0.4486; 0.5097]
Line = KA17 [0.4133; 0.5237]
Line = KA18 [0.4511; 0.5192]
Line = KA2  [0.4875; 0.5207]
Line = KA23 [0.4434; 0.4791]
Line = KA24 [0.4224; 0.4959]
Line = KA25 [0.4542; 0.5056]
Line = KA28 [0.4710; 0.5078]
Line = KA29 [0.4872; 0.5210]
Line = KA3  [0.4338; 0.5393]
Line = KA5  [0.4224; 0.4841]
Line = KA6  [0.4079; 0.4886]
Line = KA7  [0.4689; 0.5028]
Line = KA9  [0.4384; 0.5341]
Line = VA1  [0.3883; 0.4238]
Line = VA11 [0.5327; 0.5812]
Line = VA15 [0.4834; 0.5506]
Line = VA18 [0.4529; 0.4890]
Line = VA22 [0.4721; 0.5193]
Line = VA26 [0.4022; 0.4388]
Line = VA30 [0.4767; 0.5247]
Line = VA34 [0.4547; 0.5058]
Line = VA35 [0.4355; 0.4749]
Line = VA44 [0.4599; 0.5187]
Line = VA46 [0.4758; 0.5495]
Line = VA47 [0.5146; 0.5484]
Line = VA48 [0.4466; 0.4804]
Line = VA55 [0.4212; 0.4689]
Line = VA57 [0.4830; 0.5612]
Line = VA6  [0.4454; 0.5263]
Line = VA66 [0.4698; 0.5037]
Line = VA67 [0.4480; 0.4819]
Line = VA71 [0.4498; 0.5114]
Line = VA9  [0.4026; 0.4549]
Line = AK1  [0.4221; 0.5050]
Line = AK10 [0.4404; 0.4741]
Line = AK11 [0.3886; 0.4630]
Line = AK12 [0.3659; 0.4464]
Line = AK13 [0.4158; 0.4593]
Line = AK14 [0.4163; 0.4504]
Line = AK15 [0.3749; 0.4183]
Line = AK16 [0.4631; 0.4972]
Line = AK17 [0.3970; 0.4311]
Line = AK18 [0.4260; 0.4997]
Line = AK2  [0.4614; 0.5329]
Line = AK20 [0.3958; 0.4299]
Line = AK21 [0.4263; 0.4975]
Line = AK3  [0.3831; 0.5109]
Line = AK4  [0.3948; 0.4931]
Line = AK5  [0.4554; 0.5169]
Line = AK6  [0.4120; 0.4856]
Line = AK7  [0.4176; 0.4728]
Line = AK8  [0.4154; 0.4966]
Line = AK9  [0.3508; 0.4315]
              tau^2    tau     Q
Line = YE11       0      0  0.05
Line = YE13  0.0005 0.0222  6.23
Line = YE14 <0.0001 0.0095  1.42
Line = YE15  0.0010 0.0310 10.04
Line = YE19  0.0004 0.0197  5.31
Line = YE20  0.0013 0.0360 13.22
Line = YE21  0.0019 0.0441 17.96
Line = YE22  0.0016 0.0396 14.87
Line = YE23  0.0039 0.0622 35.50
Line = YE24  0.0017 0.0412 15.69
Line = YE26  0.0008 0.0285  9.26
Line = YE27 <0.0001 0.0024  2.20
Line = YE33  0.0019 0.0436 17.13
Line = YE40  0.0006 0.0255  7.33
Line = YE41  0.0002 0.0139  3.64
Line = YE48       0      0  1.71
Line = YE49  0.0011 0.0327 10.76
Line = YE51 <0.0001 0.0006  1.91
Line = YE69  0.0010 0.0309 10.49
Line = YE80  0.0007 0.0259  7.35
Line = RE1       --     --  0.00
Line = RE10  0.0011 0.0333 10.58
Line = RE11  0.0004 0.0192  4.95
Line = RE12  0.0019 0.0430 15.81
Line = RE13  0.0005 0.0234  6.38
Line = RE15       0      0  0.42
Line = RE16  0.0001 0.0115  3.15
Line = RE17  0.0011 0.0333 10.36
Line = RE18  0.0022 0.0471 19.19
Line = RE2   0.0014 0.0378 12.98
Line = RE3        0      0  0.33
